scenario_id,measurement_type,source_experiment_ids,mcu,configured_clock_mhz,available_ram_bytes,available_flash_bytes,security_category,latency_budget_us,recommended_variant,decision_reason,source_measurement_hash
SCN-b1364591c70c3452,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,0,UNSUPPORTED,no observed configuration meets all constraints,b1364591c70c34521ccd28d057a06857a58349feb515740362f5e3e42e6e85d6
SCN-6b21ed708e5d9b4c,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,2000,UNSUPPORTED,no observed configuration meets all constraints,6b21ed708e5d9b4cbc53441332d6f05936e131730dea1a3c58fd094c8d61c3f9
SCN-40bd7b25bc78cb53,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,5000,UNSUPPORTED,no observed configuration meets all constraints,40bd7b25bc78cb53de17807895f54d87c86ee30ef6b88d17d1de9d0e12356b6e
SCN-1783107279bb2028,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,10000,UNSUPPORTED,no observed configuration meets all constraints,1783107279bb20284f7479438d7dd1f8cad6b61027878becd95a5b2ad511c7ca
SCN-42ed28c5b4ee5a80,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,25000,UNSUPPORTED,no observed configuration meets all constraints,42ed28c5b4ee5a8003af3fe523bf3a9794e0b699d1c05c2212963184f94fbea0
SCN-eb3ee921f2272164,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,50000,UNSUPPORTED,no observed configuration meets all constraints,eb3ee921f227216453fc3ea596d35a313cbabf1addb3fa688b00d8a3c83fef65
SCN-6d721d224ef41444,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,100000,UNSUPPORTED,no observed configuration meets all constraints,6d721d224ef41444857b8bd8a29adacddc2d672907b4a009acc976105d5f4ae6
SCN-f918a23718771fcb,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,1,250000,UNSUPPORTED,no observed configuration meets all constraints,f918a23718771fcb215698c82ff51c72d16e3674a20e5048e470b2dad2e11764
SCN-b887738b0d4d5e48,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,0,UNSUPPORTED,no observed configuration meets all constraints,b887738b0d4d5e48132caba13467c649a05fce463e92e674e4eac77b7098daba
SCN-dcf2bf9543e1a422,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,2000,UNSUPPORTED,no observed configuration meets all constraints,dcf2bf9543e1a4225353a8259668534cac22ba43a4530a2b3c22982c1da8b94b
SCN-05591315760c2205,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,5000,UNSUPPORTED,no observed configuration meets all constraints,05591315760c220563f45c6c9bd4257638e1f1e3d4f5c8b64ea42f1671b2c641
SCN-4be1d76d48b0808b,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,10000,UNSUPPORTED,no observed configuration meets all constraints,4be1d76d48b0808bdaabe03fd7b43ae9278374ccd1d83250d45a19ff81f5f987
SCN-141ed731af286366,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,25000,UNSUPPORTED,no observed configuration meets all constraints,141ed731af286366a18c14477f198fb4ffedbd8d40668216808d11cd16b07b89
SCN-3d19c41973cd8deb,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,50000,UNSUPPORTED,no observed configuration meets all constraints,3d19c41973cd8debdb17244c4d93a509f69622113447f2bdb054a190bdecf12b
SCN-448e240847cbf539,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,100000,UNSUPPORTED,no observed configuration meets all constraints,448e240847cbf539aea0d7ffca2c5719cca13712325249719991d6778ae9ce64
SCN-cb9e1c64cf3c8b1e,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,3,250000,UNSUPPORTED,no observed configuration meets all constraints,cb9e1c64cf3c8b1e57970cdc0587e88a03a92997c752a51b49dd9e04b6a1cee3
SCN-01e8cfbfd6c36626,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,0,UNSUPPORTED,no observed configuration meets all constraints,01e8cfbfd6c366265a3d7af21b2d325656d2ef528bf8b31a45d6e1a799f81fda
SCN-74b4e309e9641fde,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,2000,UNSUPPORTED,no observed configuration meets all constraints,74b4e309e9641fde8b9fa079f7b044e3623e7ab082c0658ebbbd65347139e6c2
SCN-581bf3af2306567d,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,5000,UNSUPPORTED,no observed configuration meets all constraints,581bf3af2306567d539f71cd0b9f64bc66637c7a71ffd41c10557582cb6a3799
SCN-84da460190b6f68c,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,10000,UNSUPPORTED,no observed configuration meets all constraints,84da460190b6f68c10f9cd1b6a5be2fa6621daee379200e39f86dc3772ed5eda
SCN-6e61d669621b623c,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,25000,UNSUPPORTED,no observed configuration meets all constraints,6e61d669621b623c4f912f2b72abf96d4df9415915405397a7f0bfb79b5f442c
SCN-0ed5fdf3aab58f4d,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,50000,UNSUPPORTED,no observed configuration meets all constraints,0ed5fdf3aab58f4deb2a0fe917b426f456e0e2b310421f7b11f01ca372a4107f
SCN-a43d8f442150d093,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,100000,UNSUPPORTED,no observed configuration meets all constraints,a43d8f442150d093c3820ce2bfd5d255dcea6c1a0da7ed5e8d8d86b8241252f9
SCN-f60d187050e6e6ba,derived_recommendation_scenario,,STM32F072RBT6,48,4096,32768,5,250000,UNSUPPORTED,no observed configuration meets all constraints,f60d187050e6e6ba740dc7d272bf406cbb2037e1a373cf71c0dc6a9e9c413e5a
SCN-0bf18cfbd491d52a,derived_recommendation_scenario,,STM32F072RBT6,48,4096,49152,1,0,UNSUPPORTED,no observed configuration meets all constraints,0bf18cfbd491d52a04ae629183fefc98d1069c2449c1a264c8f8cff74da6cea3
SCN-cb243ce66499e2cc,derived_recommendation_scenario,,STM32F072RBT6,48,4096,49152,1,2000,UNSUPPORTED,no observed configuration meets all constraints,cb243ce66499e2cc5a5a5ea5b8e3e80f61e9cbdb2cf107590e0308f42600571c
